column;Código RA;Código Curso;Código Asignatura;Descripción
1;RA4;TMVS01;296;Elabora presupuestos de reparación de carrocerías valorando las características del daño que hay que reparar
1;RA5;TMVS01;296;Repara estructuras de vehículo mediante bancadas analizando las técnicas de reparación.
1;RA6;TMVS01;296;Planifica modificaciones y reformas de importancia en carrocerías de vehículos relacionando las especificaciones de la reforma planteada con la normativa vigente.
1;RA1;TMVS01;297;Elabora planes de mantenimiento de vehículos analizando las variables que intervienen y teniendo en cuenta métodos y tiempos.
1;RA2;TMVS01;297;Elabora planes de distribución del trabajo, relacionando las cargas de trabajo con la operatividad de instalaciones y equipos.
1;RA3;TMVS01;297;Elabora planes de mantenimiento para grandes flotas, analizando las necesidades propias de estas y sus requerimientos.
1;RA4;TMVS01;297;Organiza el funcionamiento de una sección de recambios para establecer su distribución física y el control de existencias analizando modelos de gestión.
1;RA5;TMVS01;297;Gestiona el tratamiento de los residuos generados en las operaciones de mantenimiento y reparación de vehículos identificando los agentes contaminantes y describiendo sus efectos sobre el medio ambiente.
1;RA6;TMVS01;297;Elabora planes de calidad para el funcionamiento de un taller relacionando la eficacia de gestión, el grado de satisfacción del servicio y el impacto ambiental con la aplicación de la normativa establecida.
1;RA7;TMVS01;297;Elabora informes, presupuestos y otros documentos mediante programas informáticos analizando los resultados.
1;RA1;TMVS01;298;Aplica técnicas de comunicación analizando las características y posibilidades de las mismas.
1;RA2;TMVS01;298;Atiende posibles clientes, relacionando sus necesidades con las características del servicio o producto.
1;RA3;TMVS01;298;Transmite la imagen de negocio relacionándola con las características y objetivos de la empresa.
1;RA4;TMVS01;298;Gestiona quejas, reclamaciones y sugerencias analizando el problema e identificando la legislación aplicable.
1;RA5;TMVS01;298;Controla la calidad del servicio prestado, analizando el grado de satisfacción de los posibles clientes.
1;RA1;TMVS01;300;Reconoce las capacidades asociadas a la iniciativa emprendedora, analizando los requerimientos derivados de los puestos de trabajo y de las actividades empresariales.
1;RA2;TMVS01;300;Define la oportunidad de creación de una pequeña empresa, valorando el impacto sobre el entorno de actuación e incorporando valores éticos.
1;RA3;TMVS01;300;Realiza las actividades para la constitución y puesta en marcha de una empresa, seleccionando la forma jurídica e identificando las obligaciones legales asociadas.
1;RA4;TMVS01;300;Realiza actividades de gestión administrativa y financiera básica de una pyme, identificando las principales obligaciones contables y fiscales y cumplimentando la documentación.
1;RA1;TMVM02;452;Caracteriza el funcionamiento de motores de dos y cuatro tiempos interpretando las variaciones de sus parámetros característicos y la funcionalidad de los elementos que los constituyen.
1;RA2;TMVM02;452;Caracteriza los sistemas de lubricación y refrigeración de los motores térmicos, identificando sus elementos y describiendo su función en el sistema.
1;RA3;TMVM02;452;Localiza averías en los motores térmicos y en sus sistemas de lubricación y refrigeración relacionando sus síntomas y efectos con las causas que los producen.
1;RA4;TMVM02;452;Mantiene motores térmicos interpretando procedimientos establecidos de reparación.
1;RA5;TMVM02;452;Mantiene los sistemas de lubricación y refrigeración de los motores, interpretando procedimientos establecidos de reparación.
1;RA6;TMVM02;452;Aplica las normas de prevención de riesgos laborales y de protección ambiental, identificando los riesgos asociados y las medidas y equipos para prevenirlos
1;RA1;TMVM02;453;Caracteriza el funcionamiento de los sistemas auxiliares en los motores de ciclo Otto interpretando las variaciones de sus parámetros y la funcionalidad de los elementos que los constituyen.
1;RA2;TMVM02;453;Caracteriza el funcionamiento de sistemas auxiliares en los motores de ciclo Diesel interpretando las variaciones de sus parámetros y la funcionalidad de los elementos que los constituyen.
1;RA3;TMVM02;453;Localiza averías en los sistemas auxiliares de los motores de ciclo Otto y de ciclo Diesel relacionando los síntomas y efectos con las causas que las producen.
1;RA4;TMVM02;453;Mantiene los sistemas auxiliares del motor de ciclo Otto interpretando y aplicando procedimientos establecidos según especificaciones técnicas.
1;RA5;TMVM02;453;Mantiene los sistemas auxiliares del motor de ciclo Diesel interpretando y aplicando procedimientos establecidos según especificaciones técnicas.
1;RA6;TMVM02;453;Mantiene los sistemas de sobrealimentación y anticontaminación de los motores de ciclo Otto y ciclo Diesel, interpretando los valores obtenidos en las pruebas de funcionamiento del motor.
1;RA1;TMVM02;454;Determina las cargas transmitidas por los elementos actuadores de sistemas hidráulicos y neumáticos, analizando las leyes físicas que los gobiernan
1;RA2;TMVM02;454;Monta circuitos de fluidos relacionando la función de sus elementos con la operatividad del circuito.
1;RA3;TMVM02;454;Caracteriza el funcionamiento de los sistemas de suspensión y dirección, describiendo la ubicación y funcionalidad de los elementos que los constituyen.
1;RA4;TMVM02;454;Localiza averías en los sistemas de suspensión y dirección relacionando los síntomas y efectos con las causas que las producen.
1;RA5;TMVM02;454;Mantiene los sistemas de suspensiones convencionales y pilotadas interpretando y aplicando procedimientos de trabajo establecidos.
1;RA6;TMVM02;454;Mantiene los sistemas de direcciones convencionales y asistidas interpretando y aplicando procedimientos de trabajo establecidos.
1;RA7;TMVM02;454;Cumple las normas de prevención de riesgos laborales y de protección ambiental, identificando los riesgos asociados, y las medidas y equipos para prevenirlos.
1;RA1;TMVM02;455;Caracteriza el funcionamiento del sistema de transmisión describiendo la ubicación y funcionalidad de los elementos que lo constituyen.
1;RA2;TMVM02;455;Caracteriza el funcionamiento del sistema de frenos describiendo la ubicación y funcionalidad de los elementos que lo constituyen.
1;RA3;TMVM02;455;Localiza averías en los sistemas de transmisión y frenado relacionando los síntomas y efectos con las causas que las producen.
1;RA4;TMVM02;455;Mantiene los sistemas de transmisión de fuerzas del vehículo interpretando y aplicando procedimientos de trabajo establecidos.
1;RA5;TMVM02;455;Mantiene los sistemas de frenos interpretando y aplicando procedimientos de trabajo establecidos.
1;RA1;TMVM02;456;Caracteriza la funcionalidad de elementos y conjuntos eléctricos y electrónicos básicos en los vehículos, aplicando las leyes y reglas de la electricidad y el magnetismo.
1;RA2;TMVM02;456;Monta circuitos eléctricos y electrónicos básicos relacionando la función de sus elementos con la operatividad del circuito.
1;RA3;TMVM02;456;Caracteriza el funcionamiento de los sistemas de carga y arranque, describiendo la ubicación y funcionalidad de los elementos que los constituyen.
1;RA4;TMVM02;456;Localiza averías de los circuitos de carga y arranque, relacionando los síntomas y efectos con las causas que las producen.
1;RA5;TMVM02;456;Mantiene el sistema de carga interpretando y aplicando procedimientos establecidos según especificaciones técnicas.
1;RA6;TMVM02;456;Mantiene el sistema de arranque del vehículo, interpretando los procedimientos establecidos por los fabricantes, y aplicando sus especificaciones técnicas.
1;RA1;TMVM02;457;Reconoce la funcionalidad y constitución de los elementos y conjuntos que componen los circuitos eléctricos auxiliares de vehículos, describiendo su funcionamiento
1;RA2;TMVM02;457;Localiza averías de los sistemas eléctricos auxiliares, relacionando los síntomas y efectos con las causas que las producen.
1;RA3;TMVM02;457;Realiza el mantenimiento de los sistemas eléctricos auxiliares, interpretando y aplicando los procedimientos establecidos y las especificaciones técnicas.
1;RA4;TMVM02;457;Monta nuevas instalaciones y realiza modificaciones en las existentes seleccionando los procedimientos, los materiales, componentes y elementos necesarios.
1;RA5;TMVM02;457;Localiza averías en las redes de comunicación de datos, relacionando los síntomas y efectos con las causas que las producen.
1;RA1;TMVM02;458;Caracteriza la funcionalidad y constitución de los elementos que conforman los sistemas de seguridad y confortabilidad, describiendo su función en el conjunto al que pertenece
1;RA2;TMVM02;458;Localiza averías en los sistemas de seguridad y confortabilidad relacionando los síntomas y efectos con las causas que las producen.
1;RA3;TMVM02;458;Mantiene los sistemas de control de la temperatura del habitáculo, analizando y aplicando procesos de trabajo establecidos.
1;RA4;TMVM02;458;Mantiene las instalaciones y realiza el montaje de equipos audiovisuales, de comunicación y de confort, describiendo las técnicas de instalación y montaje.
1;RA5;TMVM02;458;Mantiene los sistemas de seguridad de las personas y del propio vehículo, interpretando y aplicando procedimientos de trabajo establecidos.
1;RA6;TMVM02;458;Sustituye lunas y elementos auxiliares de la carrocería describiendo los procedimientos de sustitución y montaje.
1;RA7;TMVM02;458;Aplica las normas de prevención de riesgos laborales y de protección ambiental, identificando los riesgos asociados y las medidas y equipos para prevenirlos.
1;RA1;TMVM01;461;Identifica la estructura y organización de la empresa, relacionándolas con la producción y comercialización de los servicios que presta.
1;RA2;TMVM01;461;Aplica hábitos éticos y laborales en el desarrollo de su actividad profesional, de acuerdo a las características del puesto de trabajo y con los procedimientos establecidos en la empresa.
1;RA3;TMVM01;461;Realiza el mantenimiento de motores y de sus sistemas auxiliares, efectuando los diagnósticos que permitan identificar los elementos que hay que ajustar, reparar o sustituir.
1;RA4;TMVM01;461;Realiza el mantenimiento y la instalación de equipos de seguridad y confortabilidad, utilizando las técnicas y medios adecuados en cada caso.
1;RA5;TMVM01;461;Realiza el mantenimiento de los sistemas eléctricos y electrónicos del vehículo, efectuando los diagnósticos que permitan identificar los elementos que hay que ajustar, reparar o sustituir.
1;RA6;TMVM01;461;Realiza el mantenimiento de los sistemas de transmisión de fuerza y trenes de rodaje de vehículos, efectuando los diagnósticos que permitan identificar los elementos que hay que ajustar, reparar o sustituir.
1;RA1;TMVM01;623;Identifica la estructura y organización de la empresa, relacionándolas con la producción y comercialización de los servicios que presta.
1;RA2;TMVM01;623;Aplica hábitos éticos y laborales en el desarrollo de su actividad profesional, de acuerdo a las características del puesto de trabajo y con los procedimientos establecidos en la empresa.
1;RA3;TMVM01;623;Realiza el mantenimiento de motores y de sus sistemas auxiliares, efectuando los diagnósticos que permitan identificar los elementos que hay que ajustar, reparar o sustituir.
1;RA4;TMVM01;623;Realiza el mantenimiento y la instalación de equipos de seguridad y confortabilidad, utilizando las técnicas y medios adecuados en cada caso.
1;RA5;TMVM01;623;Realiza el mantenimiento de los sistemas eléctricos y electrónicos del vehículo, efectuando los diagnósticos que permitan identificar los elementos que hay que ajustar, reparar o sustituir.
1;RA6;TMVM01;623;Realiza el mantenimiento de los sistemas de transmisión de fuerza y trenes de rodaje de vehículos, efectuando los diagnósticos que permitan identificar los elementos que hay que ajustar, reparar o sustituir.
